time,flux,flux_err
200.32408500967722,0.999955125290381,nan
200.3247661127025,1.0001805606901286,nan
200.32544721572776,1.000082580962213,nan
200.32612831898587,0.9997462161297189,nan
200.3268094220184,0.9996799051791138,nan
200.3274905250437,0.999845145962096,nan
200.32817172830255,0.9999086307989302,nan
200.32885283132782,1.0000795809029737,nan
200.3295339343531,1.000053854900701,nan
200.33021513761196,1.000058402723848,nan
200.3308962406445,1.000130012677486,nan
200.33157724366902,1.0000061685573445,nan
200.33225834692712,1.0000851992709707,nan
200.33293954995315,1.000531180019847,nan
200.33362065297842,0.9999612915002661,nan
200.33430185624456,1.0002318845912588,nan
200.33498295926984,0.9998695940952272,nan
200.3356640622951,0.9999718340288027,nan
200.33634526532114,0.999789259528449,nan
200.33702626857848,0.999747250796761,nan
200.33770737161103,1.000183490652339,nan
200.3383884746363,1.0001387973530917,nan
200.33906967789517,0.9996411184590637,nan
200.33975078092044,0.999549816713552,nan
200.34043198394647,0.9998993130646564,nan
200.34111308720458,0.9999008625464865,nan
200.34179419023712,0.999719252351802,nan
200.34247539326316,0.9999655014058908,nan
200.3431563965205,0.9997597271896802,nan
200.34383749954577,1.0001514809018885,nan
200.3445187025718,0.999845416442379,nan
200.34519980583718,1.0000442319282807,nan
200.34588090886245,1.000048403102918,nan
200.3465621118885,0.9999771644186778,nan
200.34724321491376,1.0002869773744119,nan
200.34792431817186,1.0000781857556922,nan
200.3486054212044,0.9996898323338383,nan
200.34928652422968,1.0001164552341077,nan
200.34996762748779,0.9999201197156107,nan
200.35064873051306,0.9998448444674423,nan
200.3513299335391,0.9999941315641124,nan
200.3520110367972,1.0002322429323347,nan
200.35269213982974,1.0002218349423284,nan
200.35337334285578,0.9999577005291443,nan
200.3540543458803,0.9996638243852134,nan
200.3547354491384,0.9997740259392004,nan
200.35541655217094,1.000251925708477,nan
200.35609775519697,1.0002807919453258,nan
200.35677885845507,1.0001849363295028,nan
200.35745996148034,1.000341965244527,nan
200.35814116450638,1.0002273590059843,nan
200.35882226753165,0.9998890512330116,nan
200.35950327079627,1.0002100810347994,nan
200.3601844738223,0.9997696669273698,nan
200.36086557684757,1.0000987401186974,nan
200.36154668010568,0.9999485488911192,nan
200.3622278831317,0.999831157703568,nan
200.36290898616426,0.9998270806661449,nan
200.3635901891903,0.9994050530785095,nan
200.3642712924484,0.9999166676019283,nan
200.3649522954729,1.0003504041905351,nan
200.36563339849818,0.9998105210388862,nan
200.36631460175704,0.9995459029743645,nan
200.3669957047896,1.0000199187978491,nan
200.36767690781562,0.9998749321777021,nan
200.3683580108409,0.9999130969505292,nan
200.369039114099,0.9999694087611615,nan
200.36972031712503,0.9998144684580478,nan
200.37040132015682,0.999740373837766,nan
200.3710824231821,0.9998843616066903,nan
200.3717635264402,0.9998242868368407,nan
200.37244472946622,1.0000932728450405,nan
200.3731258324915,0.9998469723452807,nan
200.37380703551753,1.0002242742297052,nan
200.3744881387829,0.9999602034840729,nan
200.37516924180818,1.0000157162491392,nan
200.3758502448327,0.9999377363240746,nan
200.37653144785872,0.9999701795164371,nan
200.3772125511241,0.9997207451155219,nan
200.37789365414937,1.0000136655221237,nan
200.3785748571754,0.9996942502920453,nan
200.3792559604335,1.0000618598586863,nan
200.37993706345878,0.999847593598599,nan
200.38061826648482,1.0001764566001596,nan
200.3812992695166,0.9998788877648481,nan
200.3819803727747,1.0001118089546692,nan
200.38266147579998,0.9999578070071589,nan
200.383342678826,0.9998750635010345,nan
